"Link type"	"Is nofollow"	"Source URL"	"Source HTTP status code"	"Target URL"	"Target HTTP status code"	"Anchor"	"Hreflang attribute"	"Target final redirect URL"	"Target final redirect HTTP status code"	"Is source canonical"	"Is source noindex"	"Is target canonical"	"Is target noindex"	"Is link internal"
"Href link"	"false"	"https://visquanta.com/blog/how-car-dealerships-use-conversational-ai-to-re-engage-old-prospects"	"200"	"https://www.visquanta.com/independent-dealers"	"404"	"[12]"	""	""	""	"true"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://visquanta.com/blog/crm-database-reactivation-guide"	"200"	"https://www.visquanta.com/enterprise-groups"	"404"	"dealer management system"	""	""	""	"true"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://visquanta.com/blog/5-ai-tools-that-will-increase-car-dealership-sales-in-q4-2025"	"200"	"https://www.visquanta.com/auto-group"	"404"	"[20]"	""	""	""	"true"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://www.visquanta.com/lead-reactivation"	"200"	"https://www.visquanta.com/blog/5-reasons-car-buyers-prefer-sms-over-phone-calls-in-2025"	"404"	"Analysis: Why Buyers Prefer SMS in 2025"	""	""	""	"true"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://www.visquanta.com/blog/how-to-improve-first-contact-rates-in-dealerships"	"200"	"https://www.visquanta.com/partnerships"	"404"	"VisQuanta’s AutoMaster Suite"	""	""	""	"false"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://visquanta.com/lead-reactivation"	"200"	"https://visquanta.com/blog/sms-vs-email-vs-ai-chatbot-the-ultimate-guide-for-car-dealerships"	"404"	"Deep Dive: SMS vs Email vs Chatbots"	""	""	""	"false"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://www.visquanta.com/blog/5-ai-tools-that-will-increase-car-dealership-sales-in-q4-2025"	"200"	"https://www.visquanta.com/auto-group"	"404"	"[20]"	""	""	""	"false"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://www.visquanta.com/blog/csi-scores-how-top-dealers-use-ai-to-keep-5-stars-year-round"	"200"	"https://www.visquanta.com/enterprise-groups"	"404"	"AutoMaster Suite"	""	""	""	"false"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://www.visquanta.com/blog/third-party-lead-providers-dealerships"	"200"	"https://www.visquanta.com/franchise-dealers"	"404"	"AutoMaster Suite"	""	""	""	"false"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://www.visquanta.com/blog/boost-dealership-sales-with-automaster-suite"	"200"	"https://www.visquanta.com/enterprise-groups"	"404"	"AutoMaster Suite"	""	""	""	"false"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://www.visquanta.com/blog/third-party-lead-providers-dealerships"	"200"	"https://www.visquanta.com/enterprise-groups"	"404"	"DealerSocket"	""	""	""	"false"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://www.visquanta.com/blog/crm-database-reactivation-guide"	"200"	"https://www.visquanta.com/enterprise-groups"	"404"	"dealer management system"	""	""	""	"false"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://visquanta.com/blog/how-to-improve-first-contact-rates-in-dealerships"	"200"	"https://www.visquanta.com/partnerships"	"404"	"VisQuanta’s AutoMaster Suite"	""	""	""	"true"	"false"	"true"	"false"	"true"
